text,label
Should I call my prescriber right away if I feel sad?,mental_health_warnings
How long after stopping do I have to wait to donate blood?,lifestyle_restrictions
Is transient chest pain a known side effect?,common_side_effects_and_adverse_reactions
Is calcification of ligaments possible?,common_side_effects_and_adverse_reactions
Is it safe to smooth my skin with procedures?,lifestyle_restrictions
I need to make sure I pick this up before the cutoff date.,prescription_process_and_smart_program
What is the biggest stadium in the world?,unrelated
Does it inhibit sebaceous gland function?,indications_and_efficacy
Does food increase the bioavailability of isotretinoin?,dosage_and_administration
Who is the president of Brazil?,unrelated
Should I be careful taking phenytoin with Accutane?,drug_and_supplement_interactions
Can I get a refill without a new prescription?,dosage_and_administration
Can I run a marathon?,lifestyle_restrictions
Peace out.,goodbye
"Hi, safety question.",greeting
Does it work on hormonal acne?,indications_and_efficacy
That's all I needed.,goodbye
Does psychosis mean seeing things that aren't there?,mental_health_warnings
Can I take omega-3 supplements?,drug_and_supplement_interactions
Can you prescribe medication?,bot_identity_and_disclaimer
I need to use two methods simultaneously.,pregnancy_and_contraception_risks
What is the capital of Germany?,unrelated
Does it change the composition of my skin oil?,indications_and_efficacy
"My acne is very severe, will this clear it up?",indications_and_efficacy
Can I take caffeine?,drug_and_supplement_interactions
"Nothing else, thanks.",goodbye
How do I promote my website?,unrelated
What if a pregnant woman gets my donated blood?,lifestyle_restrictions
Does it reduce sebum secretion?,indications_and_efficacy
What is the height of Mount Everest?,unrelated
Is the dose calculated by body weight?,dosage_and_administration
"Hello, urgent question.",greeting
What is the capital of Mexico?,unrelated
"Hi, I need information about Accutane.",greeting
What is the longest movie ever made?,unrelated
I'm eating much more than usual.,mental_health_warnings
"My joints are aching, is that a side effect?",common_side_effects_and_adverse_reactions
"No more questions, bye.",goodbye
Good day to you.,greeting
Can I rely on abstinence?,lifestyle_restrictions
Do you have a soul?,bot_identity_and_disclaimer
Can I take garlic supplements?,drug_and_supplement_interactions
"Much appreciated, goodbye.",goodbye
Why did the pharmacist reject my prescription today?,prescription_process_and_smart_program
Who is the richest person in the world?,unrelated
Does the sticker prove I had a negative pregnancy test?,prescription_process_and_smart_program
Can I take calcium supplements?,drug_and_supplement_interactions
Does it work on inflammatory lesions?,indications_and_efficacy
Can I share my pills with someone else?,dosage_and_administration
Why is there a limit of a 30-day supply?,prescription_process_and_smart_program
Can I use minipills for birth control?,drug_and_supplement_interactions
"My nodules are painful, will this stop the pain?",indications_and_efficacy
Are you a conscious being?,bot_identity_and_disclaimer
Can you look at a picture of my face?,bot_identity_and_disclaimer
Yo.,greeting
How do I file my taxes?,unrelated
Do I need to worry about high triglycerides?,common_side_effects_and_adverse_reactions
How do I make scrambled eggs?,unrelated
Disconnect.,goodbye
Have pregnancies been reported with St. John's Wort use?,drug_and_supplement_interactions
Do I need to follow contraceptive measures for a second course?,dosage_and_administration
Is a referral to a mental health professional necessary?,mental_health_warnings
Can I take glucosamine?,drug_and_supplement_interactions
Why do men need the sticker if they can't get pregnant?,prescription_process_and_smart_program
My doctor says I have to pick it up within 7 days of the pregnancy test.,prescription_process_and_smart_program
"I didn't get a sticker, is my prescription invalid?",prescription_process_and_smart_program
How do I make fluffy pancakes?,unrelated
Does it stop the skin from producing oil?,indications_and_efficacy
"Before increasing the dose, should I check if I'm eating enough?",dosage_and_administration
What is the chemical symbol for Iron?,unrelated
Have a good weekend.,goodbye
Should I protect the pills from light?,dosage_and_administration
How long after treatment can I start waxing again?,lifestyle_restrictions
That's all for now.,goodbye
Can I drive if my vision is blurry?,lifestyle_restrictions
What is the fastest car in the world?,unrelated
Are you a virtual assistant?,bot_identity_and_disclaimer
"My skin looks yellow (jaundice), should I be worried?",common_side_effects_and_adverse_reactions
How do I reset my wifi router?,unrelated
Can I take iron supplements?,drug_and_supplement_interactions
Can I fill this next week if I'm busy today?,prescription_process_and_smart_program
Does Accutane alter the dosage needed for phenytoin?,dosage_and_administration
Can I take anxiety medication?,drug_and_supplement_interactions
Is this an official medical tool?,bot_identity_and_disclaimer
Can I give this drug to someone else?,lifestyle_restrictions
What is the capital of Norway?,unrelated
Is the time to peak concentration longer if I take it with food?,dosage_and_administration
Is the typical dose 0.5 to 1.0 mg/kg/day?,dosage_and_administration
I have low platelets (thrombocytopenia).,common_side_effects_and_adverse_reactions
Are injectable birth control products considered primary?,pregnancy_and_contraception_risks
Do I really need two negative pregnancy tests before starting?,pregnancy_and_contraception_risks
Does the pharmacist keep the sticker?,prescription_process_and_smart_program
"Hi, quick question.",greeting
Does 'severe' mean I have many nodules?,indications_and_efficacy
What is the largest desert in the world?,unrelated
"I should take the capsule with a full meal, right?",dosage_and_administration
Can I go out in the sun if I wear a hat?,lifestyle_restrictions
I need to know the most common reasons for unplanned pregnancies.,pregnancy_and_contraception_risks
Are you a real doctor?,bot_identity_and_disclaimer
Do I have to stop Accutane to take antibiotics?,dosage_and_administration
I need to sign the S.M.A.R.T. Letter of Understanding.,pregnancy_and_contraception_risks
What is the capital of Poland?,unrelated
Is the reduction in sebum temporary or permanent?,indications_and_efficacy
"Okay, leaving.",goodbye
I'm finished here.,goodbye
Should I report mental health problems to my doctor?,mental_health_warnings
Hello.,greeting
My cuts seem to heal slower.,common_side_effects_and_adverse_reactions
My cholesterol levels went up.,common_side_effects_and_adverse_reactions
My menstrual cycle is irregular.,common_side_effects_and_adverse_reactions
"Bye, assistant.",goodbye
Can I take valerian root?,drug_and_supplement_interactions
Can it cause arthritis?,common_side_effects_and_adverse_reactions
I have heartburn (esophagitis).,common_side_effects_and_adverse_reactions
Are you regulated?,bot_identity_and_disclaimer
"Hey, can we talk?",greeting
Does the yellow sticker include my gender?,prescription_process_and_smart_program
"Hey, got a sec?",greeting
"Hello, I have a query about a capsule.",greeting
Can I operate a vehicle?,lifestyle_restrictions
"Hello, is this thing on?",greeting
Who invented the lightbulb?,unrelated
"Hi, start chat.",greeting
Does it work by drying out the skin?,indications_and_efficacy
Is it safe to drive if I have night blindness?,lifestyle_restrictions
I need to watch for signs of serious mental problems.,mental_health_warnings
"Good afternoon, I have a medical inquiry.",greeting
Can I take MSM?,drug_and_supplement_interactions
I promise to avoid sexual intercourse completely or use birth control.,pregnancy_and_contraception_risks
Is it meant for 'problem skin'?,indications_and_efficacy
"Hi, I need to know about dosage.",greeting
Are you an algorithm?,bot_identity_and_disclaimer
Can I go to a tanning salon?,lifestyle_restrictions
Logging out.,goodbye
Should I stop Accutane if I have crying spells?,mental_health_warnings
"Hi, wake up.",greeting
Should I call my prescriber right away if I have crying spells?,mental_health_warnings
How do I unclog a drain?,unrelated
How long until I see results?,indications_and_efficacy
Could this cause inflammatory bowel disease?,common_side_effects_and_adverse_reactions
Does the blood donation ban apply to everyone?,lifestyle_restrictions
Can it treat gram-negative folliculitis?,indications_and_efficacy
How do I make a resume?,unrelated
What is the largest planet in the solar system?,unrelated
Are computerized prescriptions allowed?,dosage_and_administration
What is the most visited city?,unrelated
Good bye.,goodbye
Until next time.,goodbye
Can I get dermabrasion?,lifestyle_restrictions
Does the new pharmacy need the physical sticker too?,prescription_process_and_smart_program
Why does the box say this drug causes birth defects?,pregnancy_and_contraception_risks
"Good evening, are you still working?",greeting
Can I take heart medication?,drug_and_supplement_interactions
Can I take tetracyclines with Accutane?,drug_and_supplement_interactions
My skin is flushing.,common_side_effects_and_adverse_reactions
I agree to stop if I sleep too much.,mental_health_warnings
Are you a neural network?,bot_identity_and_disclaimer
Does Accutane cause emotional instability?,mental_health_warnings
Does the pharmacist have to check the date on the sticker?,prescription_process_and_smart_program
Hello!,greeting
What is the speed of light?,unrelated
My doctor said I have severe recalcitrant nodular acne.,indications_and_efficacy
What defines a 'nodule' in acne?,indications_and_efficacy
Who composed the Fifth Symphony?,unrelated
Should I tell my doctor about my physical activities?,lifestyle_restrictions
Is it a retinoid?,indications_and_efficacy
How do I clean a coffee maker?,unrelated
What is the 'cutoff date' for filling the prescription?,prescription_process_and_smart_program
Can I get a refill for more than a 30-day supply?,dosage_and_administration
Is the qualification date the same as the pregnancy test date?,prescription_process_and_smart_program
Is there a mechanism of action established for these psychiatric events?,mental_health_warnings
Should I discuss my family history of psychiatric disorders?,mental_health_warnings
"Hi, testing.",greeting
I have thoughts about ending my own life.,mental_health_warnings
Can the depression recur if I start the therapy again?,mental_health_warnings
Is a partner's vasectomy considered a primary form of birth control?,pregnancy_and_contraception_risks
Can it cause aggressive behaviors?,mental_health_warnings
What is the capital of Russia?,unrelated
Should I diet to lower fat intake?,lifestyle_restrictions
I heard prescribers have to report all pregnancies to the FDA.,pregnancy_and_contraception_risks
What time does the stock market close?,unrelated
Does it work the same for men and women?,indications_and_efficacy
"Good morning, assistant.",greeting
Which antibiotics should I avoid?,drug_and_supplement_interactions
